route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"0001","1","C1","Cesson-Sévigné (Champs Blancs) <> Rennes  <> Chantepie (Rosa Parks)","CHRONOSTAR","3","","95C11E","1A171B","1001"
"0002","1","C2","Saint-Grégoire (Champ Daguet) <> Rennes (Haut Sancé)","CHRONOSTAR","3","","008BD2","FFFFFF","1002"
"0003","1","C3","Rennes (Saint-Laurent) <> Rennes (Henri Fréville)","CHRONOSTAR","3","","00893E","FFFFFF","1003"
"0004","1","C4","Rennes (ZA Saint-Sulpice) <> Saint-Grégoire (Grand Quartier)","CHRONOSTAR","3","","6F2282","FFFFFF","1004"
"0005","1","C5","Rennes (Patton) <> Rennes (Lycée Bréquigny)","CHRONOSTAR","3","","F39200","1A171B","1005"
"0006","1","C6","Cesson-Sévigné (Rigourdière) <> Saint-Jacques-de-la-Lande (Aéroport)","CHRONOSTAR","3","","61C3D9","1A171B","1006"
"0009","1","9","Rennes (Saint-Laurent) <> Rennes (Cleunay)","Urbaine","3","","004F9E","FFFFFF","1009"
"0011","1","11","Rennes (La Poterie) <> Vezin-le-Coquet (ZI Ouest)","Urbaine","3","","EF859D","1A171B","1011"
"0012","1","12","Rennes (Villejean-Université) <> Saint-Grégoire <> Rennes (La Poterie)","Urbaine","3","","BA65A5","FFFFFF","1012"
"0013","1","13","Chantepie (Cucé) <> Saint-Jacques-de-la-Lande (Gautrais) / Rennes (Cleunay)","Urbaine","3","","6F2282","FFFFFF","1013"
"0014","1","14","Rennes (Beaulieu Atalante / Clos Courtel) <> Rennes (Roazhon Park)","Urbaine","3","","A96F23","FFFFFF","1014"
"0031","1","31","Cesson-Sévigné (Stade Dézerseul) <> Rennes (Villejean-Churchill)","Inter-quartiers","3","","FFF164","E2001A","1031"
"0032","1","32","Rennes (Beaulieu / IUT) <> Rennes (Triangle)","Inter-quartiers","3","","FFF164","E2001A","1032"
"0034","1","34","Rennes (ZA Saint-Sulpice) <> Cesson-Sévigné <> Chantepie (Rosa Parks)","Inter-quartiers","3","","FFF164","E2001A","1034"
"0035","1","35","Cesson-Sévigné (Champs Blancs) <> Cesson-Sévigné (Cesson Gare)","Inter-quartiers","3","","FFF164","E2001A","1035"
"0036","1","36","Saint-Grégoire (Edonia) <> Rennes (Place Hoche)","Inter-quartiers","3","","FFF164","E2001A","1036"
"0037","1","37","Rennes (Henri Fréville) <> Saint-Jacques-de-la-Lande (Morinais)","Inter-quartiers","3","","FFF164","E2001A","1037"
"0038","1","38","Cesson-Sévigné (Monniais) <> Cesson-Sévigné (Ménouriais)","Inter-quartiers","3","","FFF164","E2001A","1038"
"0040","1","40","Rennes (Beaulieu / IUT) <> Rennes (République)","Urbaine","3","","FFDD00","3D3C3F","1040"
"0041","1","41ex","Cesson-Sévigné (Champs Blancs) <> Rennes (Gares)","Express","3","","FFDD00","3D3C3F","1041"
"0044","1","44","Rennes (Joliot-Curie) <> Rennes (République)","Express","3","","FFDD00","3D3C3F","1044"
"0050","1","50","Thorigné-Fouillard (Landelles) <> Rennes (République)","Métropolitaine","3","","8CA5D6","1A171B","1050"
"0051","1","51","Betton (Champ Devant) <> Saint-Grégoire <> Rennes (Place Hoche)","Métropolitaine","3","","6F2282","FFFFFF","1051"
"0052","1","52","La Chapelle-des-Fougeretz (Besneraie) <> Montgermont <> Rennes <> Pacé <> Saint-Gilles (Ile des Bois)","Métropolitaine","3","","00893E","FFFFFF","1052"
"0053","1","53","Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers)","Métropolitaine","3","","E4003A","FFFFFF","1053"
"0054","1","54","Rennes (Charles de Gaulle) <> Le Rheu <> Cintré (Chêne Vert)","Métropolitaine","3","","BA65A5","FFFFFF","1054"
"0055","1","55","Rennes (Charles de Gaulle) <> Mordelles <> Le Verger (Le Verger Eglise)","Métropolitaine","3","","F39200","1A171B","1055"
"0056","1","56","Rennes (Charles de Gaulle) <> Chavagne (Croix Blanche)","Métropolitaine","3","","00893E","FFFFFF","1056"
"0057","1","57","Rennes (République) <> Saint-Jacques-de-la-Lande <> Bruz (Bruz Centre)","Métropolitaine","3","","A96F23","FFFFFF","1057"
"0059","1","59","Rennes (Henri Fréville) <> Bruz (Bruz Gare)","Métropolitaine","3","","EF859D","1A171B","1059"
"0061","1","61","Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Parc d'Activités)","Métropolitaine","3","","E4003A","FFFFFF","1061"
"0062","1","62","Rennes (La Poterie) <> Vern-sur-Seiche (Croix Malinge)","Métropolitaine","3","","004F9E","FFFFFF","1062"
"0063","1","63","Rennes (Gares) <> Bruz (Pont-Réan)","Métropolitaine","3","","8CA5D6","1A171B","1063"
"0064","1","64","Acigné (Timonière) <> Cesson-Sévigné <> Rennes (République)","Métropolitaine","3","","008BD2","FFFFFF","1064"
"0065","1","65","Rennes (Villejean-Université) <> Pacé <> Parthenay-de-Bretagne (Parthenay Fontaine)","Métropolitaine","3","","BA65A5","FFFFFF","1065"
"0067","1","67","Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République)","Métropolitaine","3","","E4003A","FFFFFF","1067"
"0068","1","68","Gévezé (Cheval Blanc) <> Rennes (Villejean-Université)","Métropolitaine","3","","004F9E","FFFFFF","1068"
"0070","1","70","Saint-Sulpice-la-Forêt (Cropy) <> Rennes (Place Hoche)","Métropolitaine","3","","EF859D","1A171B","1070"
"0071","1","71","Chevaigné (Pommiers) <> Rennes (Place Hoche)","Métropolitaine","3","","A96F23","FFFFFF","1071"
"0072","1","72","Rennes (Henri Fréville) -> Chartres-de-Bretagne -> Pont-Péan (Bois Esnault)","Métropolitaine","3","","004F9E","FFFFFF","1072"
"0073","1","73","Rennes (La Poterie) <> Vern-sur-Seiche <> Saint-Armel <> Corps-Nuds (Corps-Nuds Gare)","Métropolitaine","3","","00893E","FFFFFF","1073"
"0074","1","74","Rennes (Henri Fréville) <> Orgères <> Bourgbarré (Centre de Loisirs)","Métropolitaine","3","","F39200","1A171B","1074"
"0075","1","75","Nouvoitou (Parc des Sports) <> Vern-sur-Seiche <> Rennes (La Poterie)","Métropolitaine","3","","F39200","201D21","1075"
"0076","1","76","Rennes (Lycée Basch) <> Vezin-le-Coquet <> Le Rheu <> Mordelles (Mordelles Pâtis)","Métropolitaine","3","","61C3D9","1A171B","1076"
"0077","1","77","Rennes (Villejean-Université) <> Pacé (Pâtis Roussel)","Métropolitaine","3","","F39200","1A171B","1077"
"0078","1","78","Betton (Betton Centre) <> Saint-Grégoire <> Rennes (Villejean-Université)","Métropolitaine","3","","E4003A","FFFFFF","1078"
"0079","1","79","Rennes (Henri Fréville) <> Pont-Péan <> Laillé (Gingouillère)","Métropolitaine","3","","61C3D9","26171B","1079"
"0080","1","80","Rennes (Henri Fréville) <> Laillé (Gingouillère)","Métropolitaine","3","","BA65A5","FFFFFF","1080"
"0081","1","81","Rennes (Villejean-Université) <> Clayes <> Romillé (Romillé Collège)","Métropolitaine","3","","008BD2","FFFFFF","1081"
"0082","1","82","Rennes (Villejean-Université) <> Romillé <> Langan <> La Chapelle-Chaussée <> Bécherel <> Miniac-sous-Bécherel (Miniac Eglise)","Métropolitaine","3","","E4003A","FFFFFF","1082"
"0090","1","90","Bruz (Lavoisier) <> Bruz (DGA-MI)","Intercommunale","3","","008BD2","FFFFFF","1090"
"0091","1","91","Noyal-Châtillon-sur-Seiche (Petite Saudrais) <> Chartres-de-Bretagne <> Bruz (Cicé Blossac/Pont-Réan)","Intercommunale","3","","AECC52","1A171B","1091"
"0094","1","94","Saint-Sulpice-la-Forêt (Cropy) <> Chevaigné <> Betton (Betton Centre)","Intercommunale","3","","61C3D9","26171B","1094"
"0150","1","150ex","Thorigné-Fouillard (Landelles) <> Rennes (République)","Express","3","","FFDD00","3D3C3F","1150"
"0151","1","151ex","Betton (Champ Devant) <> Rennes (Place Hoche)","Express","3","","FFDD00","3D3C3F","1151"
"0152","1","152ex","Rennes (Villejean-Université) <> Saint-Gilles (Ile des Bois)","Express","3","","FFDD00","3D3C3F","1152"
"0153","1","153ex","Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers)","Express","3","","FFDD00","3D3C3F","1153"
"0154","1","154ex","Rennes (République) <> Le Rheu <> Cintré (Chêne Vert)","Express","3","","FFDD00","3D3C3F","1154"
"0155","1","155ex","Rennes (République) <> Mordelles (Mordelles Pâtis)","Express","3","","FFDD00","3D3C3F","1155"
"0156","1","156ex","Rennes (République) <> Chavagne (Croix Blanche)","Express","3","","FFDD00","3D3C3F","1156"
"0157","1","157ex","Rennes (République) <> Bruz (Bruz Centre)","Express","3","","FFDD00","3D3C3F","1157"
"0158","1","Ker-Lannex","Rennes (République) <> Bruz (Schuman)","Express","3","","FFDD00","3D3C3F","1158"
"0159","1","159ex","Bruz (Bruz Gare) <> Rennes (Henri Fréville)","Express","3","","FFDD00","3D3C3F","1159"
"0161","1","161ex","Rennes (Henri Fréville) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon <> Bourgbarré (Centre de Loisirs)","Express","3","","FFDD00","3D3C3F","1161"
"0164","1","164ex","Acigné (Timonière) <> Cesson-Sévigné <> Rennes (République)","Express","3","","FFDD00","3D3C3F","1164"
"0165","1","165ex","Rennes (Villejean-Université) <> Parthenay-de-Bretagne (Parthenay Fontaine)","Express","3","","FFDD00","3D3C3F","1165"
"0167","1","167ex","Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République)","Express","3","","FFDD00","3D3C3F","1167"
"0168","1","168ex","Gévezé (Cheval Blanc) <> Rennes (Villejean-Université)","Express","3","","FFDD00","3D3C3F","1168"
"0172","1","172ex","Rennes (Henri Fréville) <> Chartres-de-Bretagne (Ferme des Peupliers)","Express","3","","FFDD00","3D3C3F","1172"
"0173","1","173ex","Rennes (La Poterie) <> Saint-armel <> Corps-Nuds (Corps-Nuds Gare)","Express","3","","FFDD00","3D3C3F","1173"
"0200","1","200","Acigné (Timonière) <> Rennes (Assomption)","Complémentaire","3","","BA67A6","FFFFFF","4200"
"0201","1","201","Thorigné-Fouillard (Landelles) <> Rennes (Assomption)","Complémentaire","3","","E30613","FFFFFF","4201"
"0202","1","202","Chevaigné (Pommiers) <> Betton <>  Saint-Grégoire <> Rennes (Assomption)","Complémentaire","3","","009FE3","FFFFFF","4202"
"0203","1","203","Rennes (Joliot-Curie) <> Rennes (Gares)","Complémentaire","3","","F39200","FFFFFF","4203"
"0204","1","204","Saint-Grégoire (Champ Daguet) <> Rennes (Assomption)","Complémentaire","3","","94C11F","FFFFFF","4204"
"0205","1","205","Rennes (Lycée St-Exupéry) <> Rennes (Villejean-Université)","Complémentaire","3","","C0087F","FFFFFF","4205"
"0206","1","206","Cesson-Sévigné (Métairies Chalotais) <> Rennes (Assomption)","Complémentaire","3","","FECC00","1A171B","4206"
"0207","1","207","Cesson-Sévigné (Lycée Ozanam) <> Rennes (Gares)","Complémentaire","3","","BA67A6","FFFFFF","4207"
"0208","1","208","Saint-Grégoire (MFR Rabinardières) <> Rennes (Gares)","Complémentaire","3","","F39200","FFFFFF","4208"
"0211","1","211","Rennes (Collège Cleunay) <> Chavagne (Croix Blanche)","Complémentaire","3","","702283","FFFFFF","4211"
"0212","1","212","Rennes (Coubertin) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Champ Mulon)","Complémentaire","3","","BA67A6","FFFFFF","4212"
"0213","1","213","Rennes (Coubertin) <> Orgères <> Bourgbarré (Sept Fours)","Complémentaire","3","","94C11F","FFFFFF","4213"
"0214","1","214","Cesson-Sévigné (Lycée Ozanam) <> Rennes (La Poterie)","Complémentaire","3","","94C11F","FFFFFF","4214"
"0215","1","215","Rennes (Joliot-Curie - Chateaubriand) <> Rennes (Villejean-Université)","Complémentaire","3","","FECC00","1A171B","4215"
"0216","1","216","Cesson-Sévigné (Stade Dézerseul) <> Rennes (Assomption)","Complémentaire","3","","F29FC5","1A171B","4216"
